Graph,Component,Freq,Layer,Metric,Time,Power,Freq_Host
alex,B,6,2,task,21.5202,4742.747197802199,
alex,B,6,2,out,,,
alex,B,6,2,trans,,,
alex,B,6,3,in,,,
alex,B,6,3,task,14.3291,4911.94111111111,
alex,B,6,3,out,,,
alex,B,6,3,trans,,,
alex,B,6,4,in,,,
alex,B,6,4,task,9.9448,4878.107142857143,
alex,B,6,4,out,,,
alex,B,6,4,trans,,,
alex,B,6,5,in,,,
alex,B,6,5,task,34.3852,5717.720085526392,
alex,B,6,5,out,,,
alex,B,6,5,trans,,,
alex,B,6,6,in,,,
alex,B,6,6,task,14.8209,5547.986666666665,
alex,B,6,6,out,,,
alex,B,6,6,trans,,,
alex,B,6,7,in,,,
alex,B,6,7,task,3.8766,4505.333333333333,
alex,B,6,7,out,0.2204,,
alex,B,6,7,trans,,,
alex,B,7,0,in,13.9746,4756.53004884005,
alex,B,7,0,task,20.4201,7106.888626373628,
alex,B,7,0,out,,,
alex,B,7,0,trans,0.0,,
alex,B,7,1,in,,,
alex,B,7,1,task,29.9458,7548.602412280701,
alex,B,7,1,out,,,
alex,B,7,1,trans,,,
alex,B,7,2,in,,,
alex,B,7,2,task,20.8998,5215.244671994673,
alex,B,7,2,out,,,
alex,B,7,2,trans,,,
alex,B,7,3,in,,,
alex,B,7,3,task,13.9646,5398.729999999999,
alex,B,7,3,out,,,
alex,B,7,3,trans,,,
alex,B,7,4,in,,,
alex,B,7,4,task,9.6425,5333.604920634922,
alex,B,7,4,out,,,
alex,B,7,4,trans,,,
alex,B,7,5,in,,,
alex,B,7,5,task,34.2774,6285.973635945374,
alex,B,7,5,out,,,
alex,B,7,5,trans,,,
alex,B,7,6,in,,,
alex,B,7,6,task,14.932,6048.121919191917,
alex,B,7,6,out,,,
alex,B,7,6,trans,,,
alex,B,7,7,in,,,
alex,B,7,7,task,3.9,4842.399999999999,
alex,B,7,7,out,0.2119,,
alex,B,7,7,trans,,,
alex,G,0,0,in,54.1184,3289.4082055418653,0.0
alex,G,0,0,task,43.2378,3795.2507897664054,0.0
alex,G,0,0,out,,,0.0
alex,G,0,0,trans,0.0,,0.0
alex,G,0,1,in,,,0.0
alex,G,0,1,task,80.0839,3755.3612776258833,0.0
alex,G,0,1,out,,,0.0
alex,G,0,1,trans,,,0.0
alex,G,0,2,in,,,0.0
alex,G,0,2,task,35.0235,3738.8142971014477,0.0
alex,G,0,2,out,,,0.0
alex,G,0,2,trans,,,0.0
alex,G,0,3,in,,,0.0
alex,G,0,3,task,29.9162,3587.0188095238095,0.0
alex,G,0,3,out,,,0.0
alex,G,0,3,trans,,,0.0
alex,G,0,4,in,,,0.0
alex,G,0,4,task,22.7931,3522.7976715686264,0.0
alex,G,0,4,out,,,0.0
alex,G,0,4,trans,,,0.0
alex,G,0,5,in,,,0.0
alex,G,0,5,task,56.3221,4070.2289180982602,0.0
alex,G,0,5,out,,,0.0
alex,G,0,5,trans,,,0.0
alex,G,0,6,in,,,0.0
alex,G,0,6,task,24.7631,4010.294566993464,0.0
alex,G,0,6,out,,,0.0
alex,G,0,6,trans,,,0.0
alex,G,0,7,in,,,0.0
alex,G,0,7,task,17.4071,3428.5083333333328,0.0
alex,G,0,7,out,1.6501,,0.0
alex,G,0,7,trans,,,0.0
alex,G,0,0,in,36.7093,3373.611795484692,1.0
alex,G,0,0,task,42.7584,3809.7015991607373,1.0
alex,G,0,0,out,,,1.0
alex,G,0,0,trans,0.0,,1.0
alex,G,0,1,in,,,1.0
alex,G,0,1,task,79.8391,3769.2739410927156,1.0
alex,G,0,1,out,,,1.0
alex,G,0,1,trans,,,1.0
alex,G,0,2,in,,,1.0
alex,G,0,2,task,34.7039,3732.7498517786566,1.0
