Graph,Component,Freq,Freq_Host,Layer,Metric,Time,Power,Time_sum,Time_Percentage
squeeze,G,1,4,1,task,13.1975,3912.5791666666646,221.33929999999998,5.962565165788453
squeeze,G,1,4,2,task,13.5787,3931.116111111112,221.33929999999998,6.134789438658205
squeeze,G,1,4,3,task,31.3971,3953.221428571429,221.33929999999998,14.18505434868548
squeeze,G,1,4,4,task,8.9985,3892.479523809525,221.33929999999998,4.06547775293407
squeeze,G,1,4,5,task,13.8224,4000.751111111111,221.33929999999998,6.244891892221581
squeeze,G,1,4,6,task,14.939,3986.300808080808,221.33929999999998,6.749366244494313
squeeze,G,1,4,7,task,21.4671,4020.421684981685,221.33929999999998,9.698729507141298
squeeze,G,1,4,8,task,9.8928,3743.371428571429,221.33929999999998,4.469518065702747
squeeze,G,1,4,9,task,32.1749,4098.050000000001,221.33929999999998,14.5364605381873
squeeze,G,1,5,0,in,15.7498,4310.947171717171,217.6375,7.236712423180748
squeeze,G,1,5,0,task,43.3453,4351.911576354681,217.6375,19.916282809718
squeeze,G,1,5,1,task,13.1469,3993.8555555555567,217.6375,6.040732870024698
squeeze,G,1,5,2,task,13.5324,4001.956944444445,217.6375,6.217862270978118
squeeze,G,1,5,3,task,31.3354,3992.3947619047626,217.6375,14.397978289587044
squeeze,G,1,5,4,task,8.9057,3961.286666666667,217.6375,4.091987823789559
squeeze,G,1,5,5,task,13.7121,4043.501666666667,217.6375,6.300430762161851
squeeze,G,1,5,6,task,14.7805,4031.6066666666657,217.6375,6.791338808799035
squeeze,G,1,5,7,task,21.3098,4076.811978021979,217.6375,9.791419217735914
squeeze,G,1,5,8,task,9.7448,3810.8071428571434,217.6375,4.477537189133306
squeeze,G,1,5,9,task,32.0748,4130.893506493506,217.6375,14.737717534891736
squeeze,G,1,6,0,in,13.9169,4633.938611111112,215.21609999999998,6.46647718270148
squeeze,G,1,6,0,task,43.2944,4437.511576354679,215.21609999999998,20.116710599253498
squeeze,G,1,6,1,task,13.117,4017.2625,215.21609999999998,6.094804245593151
squeeze,G,1,6,2,task,13.4737,4021.609722222224,215.21609999999998,6.260544633974876
squeeze,G,1,6,3,task,31.2694,4034.194523809525,215.21609999999998,14.52930333743619
squeeze,G,1,6,4,task,8.8568,4056.100000000001,215.21609999999998,4.115305499913808
squeeze,G,1,6,5,task,13.661,4169.032222222222,215.21609999999998,6.347573438975989
squeeze,G,1,6,6,task,14.7106,4095.162222222224,215.21609999999998,6.835269294444051
squeeze,G,1,6,7,task,21.2439,4129.032490842489,215.21609999999998,9.870962256076568
squeeze,G,1,6,8,task,9.6714,3863.6285714285714,215.21609999999998,4.493808781034505
squeeze,G,1,6,9,task,32.001,4175.985281385281,215.21609999999998,14.869240730595898
squeeze,G,1,7,0,in,12.4139,5085.327380952381,213.78930000000003,5.806604914277749
squeeze,G,1,7,0,task,43.2477,4537.503448275862,213.78930000000003,20.22912278584569
squeeze,G,1,7,1,task,13.1051,4154.268055555555,213.78930000000003,6.129913891855204
squeeze,G,1,7,2,task,13.4852,4169.353055555557,213.78930000000003,6.30770576450739
squeeze,G,1,7,3,task,31.2756,4147.214523809524,213.78930000000003,14.629169935071584
squeeze,G,1,7,4,task,8.8425,4146.052857142856,213.78930000000003,4.136081646742844
squeeze,G,1,7,5,task,13.7006,4201.473333333333,213.78930000000003,6.408459169846198
squeeze,G,1,7,6,task,14.7177,4212.237777777777,213.78930000000003,6.8842079561512195
squeeze,G,1,7,7,task,21.26,4249.952600732602,213.78930000000003,9.944370461945477
squeeze,G,1,7,8,task,9.7178,3981.9452380952384,213.78930000000003,4.545503446617768
squeeze,G,1,7,9,task,32.0232,4286.017316017315,213.78930000000003,14.978860027138868
squeeze,G,2,0,0,in,53.456,3418.976724676866,219.12720000000002,24.39496329072794
squeeze,G,2,0,0,task,34.5452,4540.557905138338,219.12720000000002,15.76490732323509
squeeze,G,2,0,1,task,11.1153,3976.0500000000006,219.12720000000002,5.072533213585533
squeeze,G,2,0,2,task,11.394,3997.680357142857,219.12720000000002,5.199719614908601
squeeze,G,2,0,3,task,25.0344,4099.381985294118,219.12720000000002,11.42459722024468
squeeze,G,2,0,4,task,7.9167,3937.0797619047607,219.12720000000002,3.6128330942028186
squeeze,G,2,0,5,task,11.5731,4117.625793650795,219.12720000000002,5.281452964305664
squeeze,G,2,0,6,task,12.3851,4120.283531746031,219.12720000000002,5.652013990047789
squeeze,G,2,0,7,task,17.4192,4183.9871212121225,219.12720000000002,7.94935544286606
squeeze,G,2,0,8,task,8.6587,3749.719047619047,219.12720000000002,3.9514492039326923
squeeze,G,2,0,9,task,25.6295,4321.073512211901,219.12720000000002,11.696174641943125
squeeze,G,2,1,0,in,36.376,3523.801142857142,197.8136,18.389028863536176
squeeze,G,2,1,0,task,34.1111,4555.632806324108,197.8136,17.244062086732157
squeeze,G,2,1,1,task,10.8131,4008.638690476191,197.8136,5.466307675508661
squeeze,G,2,1,2,task,10.9875,4030.0607142857134,197.8136,5.5544714822438905
squeeze,G,2,1,3,task,24.6196,4102.010661764705,197.8136,12.445858120978535
squeeze,G,2,1,4,task,7.5697,3971.643333333332,197.8136,3.8266833018558883
squeeze,G,2,1,5,task,11.1273,4086.471428571428,197.8136,5.625144075028208
squeeze,G,2,1,6,task,11.9518,4121.690476190477,197.8136,6.0419506040029605
squeeze,G,2,1,7,task,16.9261,4202.998333333334,197.8136,8.556590648974591
squeeze,G,2,1,8,task,8.2128,3792.723333333332,197.8136,4.1517873391920475
squeeze,G,2,1,9,task,25.1186,4363.162622549018,197.8136,12.698115801946882
squeeze,G,2,2,0,in,26.8201,3667.076006191951,186.7609,14.36066114481136
squeeze,G,2,2,0,task,33.8156,4575.531545266327,186.7609,18.10635952172002
squeeze,G,2,2,1,task,10.6172,4017.617857142857,186.7609,5.68491584694655
squeeze,G,2,2,2,task,10.8302,4063.372023809523,186.7609,5.798965415137751
squeeze,G,2,2,3,task,24.5155,4123.645710784313,186.7609,13.126676943621495
squeeze,G,2,2,4,task,7.387,3978.355,186.7609,3.9553246959079766
squeeze,G,2,2,5,task,11.0134,4145.435714285713,186.7609,5.8970587526618266
squeeze,G,2,2,6,task,11.8285,4160.127976190476,186.7609,6.333499142486462
squeeze,G,2,2,7,task,16.8461,4215.1281818181815,186.7609,9.02014286716331
squeeze,G,2,2,8,task,8.103,3800.306666666667,186.7609,4.338702587104688
squeeze,G,2,2,9,task,24.9843,4391.9478758169935,186.7609,13.377693082438563
squeeze,G,2,3,0,in,21.8625,3828.062967032968,180.4019,12.118774802260951
squeeze,G,2,3,0,task,33.7048,4627.641897233199,180.4019,18.68317351424791
squeeze,G,2,3,1,task,10.5395,4044.769047619049,180.4019,5.842233368939019
squeeze,G,2,3,2,task,10.6877,4081.336309523808,180.4019,5.924383279776986
squeeze,G,2,3,3,task,24.3048,4133.755147058823,180.4019,13.472585377426732
squeeze,G,2,3,4,task,7.2508,4009.301666666666,180.4019,4.019248134304572
squeeze,G,2,3,5,task,10.8717,4154.1839285714295,180.4019,6.026377770965826
squeeze,G,2,3,6,task,11.6856,4167.894444444445,180.4019,6.477537099110375
squeeze,G,2,3,7,task,16.6733,4242.688787878788,180.4019,9.242308423580905
squeeze,G,2,3,8,task,7.9443,3802.7066666666674,180.4019,4.403667588866857
squeeze,G,2,3,9,task,24.8769,4433.502614379086,180.4019,13.789710640519859
squeeze,G,2,4,0,in,18.606,4036.718759573761,176.7477,10.526869656578274
squeeze,G,2,4,0,task,33.7307,4658.846442687748,176.7477,19.084095578047126
squeeze,G,2,4,1,task,10.5175,4097.857142857141,176.7477,5.950572482697087
squeeze,G,2,4,2,task,10.6262,4119.830952380951,176.7477,6.012072575767605
